Paper no,Paper name,The adopted data handling techniques,Year,Dataset Category
1,"
Using Large Language Models for Natural Language Processing Tasks in Requirements Engineering: A Systematic Guideline
Andreas Vogelsang +1
arXiv.org
2402.13823v3.pdf
2024 ·
3 citations","1. Leveraging existing datasets and models that have been used for various RE tasks, as mentioned in the first quote.

2. Fine-tuning pre-trained LLMs on domain-specific data, either through unsupervised fine-tuning on unlabeled RE data or domain-specific data extracted from sources like Wikipedia, as described in the third quote.

3. Supervised fine-tuning on labeled RE datasets to adapt pre-trained LLMs to specific RE tasks, as discussed in the fourth quote.",2024,Open source-data
2,"The Application of LLMs in the Analysis and Modeling of Software Requirements
Zhipeng Wang, Changxi Feng, Longfei Liu, Guotao Jiao, Peng Ye
IEEE International Conference on Software Quality, Reliability and Security Companion
The_Application_of_LLMs_in_the_Analysis_and_Modeling_of_Software_Requirements.pdf
2024
0 citations","1. Feature engineering by selecting more relevant features from the raw data, such as using the main sentences related to the requirement category rather than the full comments.
2. Tuning the parameters of the SVM classifier model to improve the classification accuracy.
3. Visualizing the confusion matrix to analyze the prediction errors and identify areas for improvement.",2024,Open source-data
3,"Investigating ChatGPT's Potential to Assist in Requirements Elicitation Processes
Krishna Ronanki, Christian Berger, Jennifer Horkoff
Investigating_ChatGPTs_Potential_to_Assist_in_Requirements_Elicitation_Processes.pdf
Citations unknown",Interview based surveys,2023,Constructed Dataset
4,"Leveraging Graph-RAG and Prompt Engineering to Enhance LLM-Based Automated Requirement Traceability and Compliance Checks
Arsalan Masoudifard, Mohammad Mowlavi, Moein Madadi, Mohammad Sabokrou, Elahe Habibi
2412.08593v1.pdf
2024
0 citations","The adopted data handling techniques in the paper are: text cleaning, extracting a glossary of domain-specific terms, and chunking documents into manageable text chunks.",2024,Open source-data
5,"Interlinking User Stories and GUI Prototyping: A Semi-Automatic LLM-based Approach
Kristian Kolthoff, Felix Kretzer, Christian Bartelt, Alexander Maedche, Simone Paolo Ponzetto
IEEE International Requirements Engineering Conference
Interlinking_User_Stories_and_GUI_Prototyping_A_Semi-Automatic_LLM-Based_Approach.pdf
2024
2 citations","1. Collecting user stories for existing GUI prototypes from the Rico dataset, as no dataset combining GUIs and user stories was available.
2. Selecting a sample of 60 GUIs from the Rico dataset, applying various exclusion criteria to ensure the GUIs were suitable for the study.
3. Collecting user stories from participants, providing instructions and examples, and having them create user stories for the selected GUIs.
4. Preprocessing the collected user stories, including labeling them for quality, resolving disagreements, and excluding low-quality or duplicate user stories to create the final dataset of 231 user stories.",2024,Open source-data
6,"Generating Requirements Elicitation Interview Scripts with Large Language Models
Binnur Görer, Fatma Bas, ¸ak Aydemir
2023 IEEE 31st International Requirements Engineering Conference Workshops (REW)
Generating_Requirements_Elicitation_Interview_Scripts_with_Large_Language_Models.pdf
2023
10 citations","1. This paper explores automatically generating interview scripts with large language models through prompt engineering.
2. Prompt engineering techniques to generate business domain descriptions, linear scripts, and conversation pieces focused on certain types of mistakes.
3.  Two strategies, batch generation and iterative generation, to generate interview scripts with LLMs were employed. ",2023,Constructed Dataset
7,"Prioritizing Software Requirements Using Large Language Models
Malik Abdul Sami, Zeeshan Rasheed, Muhammad Waseem, Zheying Zhang, Tomas Herda, Pekka Abrahamsson
arXiv.org
2405.01564v1.pdf
2024
4 citations",Not mentioned (the paper does not mention the specific data handling techniques used in the research),2024,Collected dataset
8,"Which AI Technique Is Better to Classify Requirements? An Experiment with SVM, LSTM, and ChatGPT
Abdelkarim El-Hajjami, Nicolas Fa, Camille Salinesi, D Mendez, A Moreira, J Horko, T Weyer, M Daneva, M Unterkalmsteiner, S Bühne, J Hehn, B Penzenstadler, N Condori- Fernández, O Dieste, R Guizzardi, K M Habibullah, A Perini, A Susi, S Abualhaija, C Arora, D Dell', A Ferrari, S Ghanavati, F Dalpiaz, J Steghöfer, A Rachmann, J Gulden, A Müller, M Beck, D Birkmeier, A Herrmann, P Mennig, K Schneider
REFSQ Workshops
2311.11547v2.pdf
2023
1 citation","Not mentioned (the paper does not provide detailed information about the specific data handling techniques used in the study, such as data cleaning, normalization, or feature engineering)",2023,Collected dataset
9,"Extracting Domain Models from Textual Requirements in the Era of Large Language Models
Sathurshan Arulmohan, Marie-Jean Meurs, Sébastien Mosser
2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)
Extracting_Domain_Models_from_Textual_Requirements_in_the_Era_of_Large_Language_Models.pdf
2023
10 citations","1. Manually annotating a dataset of 1,679 user stories from 22 product backlogs to create a ground truth for evaluating the performance of different approaches to extracting domain models from textual requirements.
2. Ensuring the quality of the manual annotation through cross-checks, including an initial calibration, bi-weekly validation meetings, and cross-checking a sample of 330 annotated stories (19.6%) by a third author, which resulted in an inter-rater agreement of 94%.",2023,Constructed Dataset
10,"GPT-Powered Elicitation Interview Script Generator for Requirements Engineering Training
Binnur Görer, Fatma Bas, ¸ak Aydemir
IEEE International Requirements Engineering Conference
GPT-Powered_Elicitation_Interview_Script_Generator_for_Requirements_Engineering_Training.pdf
2024
0 citations",Not mentioned (the paper does not mention any specific data handling techniques used in the research),2024,Collected dataset
11,"Zero-shot Learning for Named Entity Recognition in Software Specification Documents
Souvick Das, Novarun Deb, Agostino Cortesi, Nabendu Chaki
IEEE International Requirements Engineering Conference
Zero-shot_Learning_for_Named_Entity_Recognition_in_Software_Specification_Documents.pdf
2023
2 citations",Not mentioned (the paper does not mention the specific data handling techniques used in this research),2023,Collected dataset
12,"Using LLMs in Software Requirements Specifications: An Empirical Evaluation
Madhava Krishna, Bhagesh Gaur, Arsh Verma, Pankaj Jalote
IEEE International Requirements Engineering Conference
Using_LLMs_in_Software_Requirements_Specifications_An_Empirical_Evaluation.pdf
2024
2 citations",Not mentioned (the paper does not mention any information about data handling techniques used in this study),2024,Collected dataset
13,"Requirements-driven Slicing of Simulink Models Using LLMs
Dipeeka Luitel, Shiva Nejati, Mehrdad Sabetzadeh
2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW)
Requirements-Driven_Slicing_of_Simulink_Models_using_LLMs.pdf
2024
2 citations",Not mentioned (the paper does not mention any information about data handling techniques used in this study),2024,Collected dataset
14,"Improving requirements completeness: automated assistance through large language models
Dipeeka Luitel, Shabnam Hassani, Mehrdad Sabetzadeh
Requirements Engineering
s00766-024-00416-3.pdf
2023
16 citations","1. The authors used the PURE dataset, which contains 79 publicly available requirements documents. 2. They manually cleaned up the documents in the PURE dataset by removing extraneous content like table of contents and headers. 3. They selected 40 of the cleaned documents as a compromise between cleanup effort and dataset size. 4. They partitioned the 40 documents into two subsets, P1 and P2, with P1 used for RQ1-RQ3 and P2 used for RQ4. The partitioning was done to ensure domain representation and balance between the two subsets.",2023,Open source-data
15,"Advancing Requirements Engineering Through Generative AI: Assessing the Role of LLMs
Chetan Arora, John Grundy, Mohamed Abdelrazek
arXiv.org
978-3-031-55642-5_6.pdf
2023
41 citations",Not mentioned (the paper does not mention any details about the adopted data handling techniques for re-related datasets used in this research),2023,Collected dataset
16,"Requirements Modeling Aided by ChatGPT: An Experience in Embedded Systems
Kun Ruan, Xiaohong Chen, Zhi Jin
2023 IEEE 31st International Requirements Engineering Conference Workshops (REW)
Requirements_Modeling_Aided_by_ChatGPT_An_Experience_in_Embedded_Systems.pdf
2023
4 citations",Not mentioned (the paper does not mention any information about the data handling techniques used in this research),2023,Collected dataset
17,"Empirical Evaluation of ChatGPT on Requirements Information Retrieval Under Zero-Shot Setting
Jianzhang Zhang, Yiyang Chen, Nan Niu, Yinglin Wang, | Chuang Liu
2023 International Conference on Intelligent Computing and Next Generation Networks（ICNGN)
2304.12562v2.pdf
2023
16 citations",1) Selecting appropriate test datasets from previous NLP4RE studies 2) Choosing datasets covering different requirements artifact types and languages 3) Using only the test sets of the selected datasets to evaluate ChatGPT 4) Constructing prompts to query ChatGPT on the selected datasets,2023,Open source-data
18,"An Automated Model of Software Requirement Engineering Using GPT-3.5
Jie Sh'ng Yeow, Muhammad Ehsan Rana, Amira Abdul Majid
2024 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems (ICETSIS)
An_Automated_Model_of_Software_Requirement_Engineering_Using_GPT-3.5.pdf
2024
1 citation",Not mentioned (the paper does not mention the specific data handling techniques used in this research),2024,Collected dataset
19,"Exploring Requirements Elicitation from App Store User Reviews Using Large Language Models
Tanmai Kumar Ghosh, Atharva Pargaonkar, Nasir U Eisty
arXiv.org
2409.15473v1.pdf
2024
0 citations","1. Text normalization to ensure consistency in capitalization 2. Data cleaning to remove special characters, HTML tags, and URLs 3. Tokenization to segment the review text into individual words 4. Stop word removal to eliminate common words with minimal semantic meaning",2024,Open source-data
20,"Large Language Models for Software Engineering: A Systematic Literature Review
Xinyi Hou, Yanjie Zhao, Yue Liu, Zhou Yang, Kailong Wang, Xiapu Luo, David Lo, John Grundy, Haoyu Wang, Li Li
ACM Transactions on Software Engineering and Methodology
published version of blueprint paper.pdf
2023
215 citations","1. Data collection: The data sources are categorized into four types - open-source datasets, collected datasets, constructed datasets, and industrial datasets. 2. Data types: The data types used in the studies are classified into five categories - code-based, text-based, graph-based, software repository-based, and combined data types. 3. Data pre-processing: The paper provides detailed descriptions of the data pre-processing steps for text-based and code-based datasets, including data extraction, cleaning, normalization, and tokenization.",2023,Industrial Dataset
21,"SimAC: simulating agile collaboration to generate acceptance criteria in user story elaboration
Yishu Li, Jacky Keung, Zhen Yang, Xiaoxue Ma, Jingyu Zhang, Shuo Liu
International Conference on Automated Software Engineering
s10515-024-00448-7.pdf
2024
2 citations",Not mentioned (the paper does not mention any details about data handling techniques used in the study),2024,Collected dataset
22,"Generative Language Models Potential for Requirement Engineering Applications: Insights into Current Strengths and Limitations
Summra Saleem, Muhammad Nabeel Asim, Ludger Van Elst, Andreas Dengel
arXiv.org
2412.00959v1.pdf
2024
0 citations","1. For the aerospace dataset, the authors preprocessed the data by removing non-textual elements, fixing sentence boundaries, and replacing special symbols to focus solely on the textual data.

2. The authors used the BIO tagging scheme to annotate the aerospace dataset, defining 5 main entity categories based on their frequency in the corpus.

3. For the REQuestA dataset, a mix of manually defined and automatically generated question-answer pairs were included, with 214 pairs manually defined by experts and 173 pairs automatically generated.",2024,Collected dataset
23,"ARCHCODE: Incorporating Software Requirements in Code Generation with Large Language Models
Hojae Han, et.al
Annual Meeting of the Association for Computational Linguistics
2408.00994v1.pdf
2024
0 citations",Not mentioned (the paper does not mention any details about data handling techniques used in the research),2024,Collected dataset
24,"Rethinking Legal Compliance Automation: Opportunities with Large Language Models
Shabnam Hassani, Mehrdad Sabetzadeh, Daniel Amyot, Jain Liao
IEEE International Requirements Engineering Conference
Rethinking_Legal_Compliance_Automation_Opportunities_with_Large_Language_Models.pdf
2024
3 citations","Not mentioned (the paper does not mention anything about ""the adopted data handling techniques"" in the context of re related datasets collected, pre-processed, and utilized in llms)",2024,Collected dataset
25,"Agile Methodology for the Standardization of Engineering Requirements Using Large Language Models
Archana Tikaya Ra, Bjorn F Cole, Olivia J Pinon Fischer, Anirudh Prabhakara Bhat, Ryan T White, Dimitri N Mavris
Syst.
systems-11-00352.pdf
2023
13 citations","1. The dataset consisted of 310  requirements, categorized into design, functional, and performance requirements, obtained from Parts 23 and 25 of Title 14 of the Code of Federal Regulations (CFRs).
2. The authors used this publicly available dataset to develop a methodology for converting natural language requirements into machine-readable formats, which can be applied to proprietary requirements as well.",2023,Open source-data
26,"MUCE: a multilingual use case model extractor using GPT-3
Deepali Bajaj, Anita Goel, S C Gupta, Hunar Batra
International journal of information technology
s41870-022-00884-2.pdf
2022
12 citations","For the dataset, we have curated a corpus consisting of 50 software case studies collected from Software Engineering projects undertaken at the Department of Computer Science, Shaheed Rajguru College of Applied Sciences of Women1 . We translated some case studies written in English to French and Spanish before parsing them into the model. Due to the context window size limitation of GPT-3 (nctx = 2048), out of 50 hand-picked case studies, 12 studies along with their respective use-cases/actors were selected for tuning the GPT-3 Davinci engine with Few-Shot learning.",2022,Constructed Dataset
27,"PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models
Xianchang Luo, Yinxing Xue, Zhenchang Xing
International Conference on Automated Software Engineering
3551349.3560417.pdf
2022
36 citations","1. Collected a large-scale dataset of real-world software requirements from social networking sites and app reviews, specifically the Stack Overflow platform.
2. Utilized the collected NFR-SO dataset for zero-shot learning and self-learning to improve performance on unseen requirements.",2022,Collected dataset
28,"Toward Regulatory Compliance: A few-shot Learning Approach to Extract Processing Activities
Rambod Ghandiparsi, Rocky Slavin, Sepideh Ghanavati, Travis Breaux, Mitra Bokaei Hosseini
2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW)
Toward_Regulatory_Compliance_A_few-shot_Learning_Approach_to_Extract_Processing_Activities.pdf
2024
0 citations","

We investigate how LLMs can extract summaries of processing activities from scenarios automatically. We explore the effects of the number of training examples in few-shot learning, repetition, and ordering of the examples on LLMs performance for extractive summarization. From the 50 scenarios in the corpus, we identify sentences that contain goal, step, or DP action verbs, yielding three datasets containing 64, 83, and 253 sentences, respectively. We partition each dataset into training, validation, and testing sets using a ratio of 60:20:20. Using the training, validation, and testing sets for all three datasets (i.e., goal, step, and DP), we design two experiments to address the following research questions. ",2024,Collected dataset
29,"Model Generation with LLMs: From Requirements to UML Sequence Diagrams
Alessio Ferrari, Sallam Abualhaija, Chetan Arora
2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW)
Model_Generation_with_LLMs_From_Requirements_to_UML_Sequence_Diagrams.pdf
2024
1 citation","Not mentioned (the paper does not mention any specific ""data handling techniques"" used in the study)",2024,Collected dataset
30,"Can AI Help with the Formalization of Railway Cybersecurity Requirements?
Maurice H Ter Beek, Alessandro Fantechi, Stefania Gnesi, Gabriele Lenzini, Marinella Petrocchi
Leveraging Applications of Formal Methods
Colloquium_Rocco_De_Nicola_2024.pdf
2024
0 citations",Not mentioned (the paper does not mention any specific data handling techniques used in the research),2024,Collected dataset
31,"Towards the LLM-Based Generation of Formal
Specifications from Natural-Language Contracts:
Early Experiments with S YMBOLEO","The provided contexts do not contain specific information regarding the collection, pre-processing, and utilization of RE related datasets in LLMs. Therefore, an answer cannot be generated based on the available information.",2024,Collected dataset
32,"Chapter 11: Legal Requirements Analysis: A
Regulatory Compliance Perspective","The provided contexts do not contain specific information regarding the adopted data handling techniques related to the collection, pre-processing, and utilization of RE related datasets in LLMs. Therefore, an answer cannot be generated based on the available contexts.",2023,Collected dataset
33,"Using LLMs for Use Case Modelling of IoT Systems:
An Experience Report","The contexts provided do not contain specific information regarding the collection, pre-processing, and utilization of RE related datasets in LLMs.",2024,Collected dataset
34,"The Current Challenges of Software Engineering in the Era of
Large Language Models","Data collection involves gathering publicly available source code data from platforms like GitHub and public archives, ensuring a diverse and extensive dataset for training LLMs.
Data filtering is crucial to remove low-quality or malicious data, employing various rules such as eliminating overly long code lines and auto-generated files.",2024,Open source-data
35,"A novel automated framework for fine-grained sentiment analysis of application reviews using deep neural networks
Haochen Zou, Yongli Wang
International Conference on Automated Software Engineering
·
2024
·
3 citations",Not mentioned (the paper does not provide details on the data handling techniques used in this research),2024,Collected dataset
