Paper no;Paper name;Venue;Year;Abstract
1;"Generative Language Models Potential for
Requirement Engineering Applications:
Insights into Current Strengths and
Limitations";Arxiv;2024;"Traditional language models have been extensively evaluated for software
engineering domain, however the potential of ChatGPT and Gemini
have not been fully explored. To fulfill this gap, the paper in hand
presents a comprehensive case study to investigate the potential of both
language models for development of diverse types of requirement engineering
applications. It deeply explores impact of varying levels of expert
knowledge prompts on the prediction accuracies of both language models.
Across 4 di!erent public benchmark datasets of requirement engineering
tasks, it compares performance of both language models with existing
task specific machine/deep learning predictors and traditional language
models. Specifically, the paper utilizes 4 benchmark datasets; Pure (7,
445 samples, requirements extraction),PROMISE (622 samples, requirements
classification), REQuestA (300 question answer (QA) pairs) and
Aerospace datasets (6347 words, requirements NER tagging). Our experiments
reveal that, in comparison to ChatGPT, Gemini requires more careful prompt engineering to provide accurate predictions. Moreover,
across requirement extraction benchmark dataset the state-of-the-art
F1-score is 0.86 while ChatGPT and Gemini achieved 0.76 and 0.77,
respectively. The State-of-the-art F1-score on requirements classification
dataset is 0.96 and both language models 0.78. In name entity recognition
(NER) task the state-of-the-art F1-score is 0.92 and ChatGPT
managed to produce 0.36, and Gemini 0.25. Similarly, across question
answering dataset the state-of-the-art F1-score is 0.90 and ChatGPT
and Gemini managed to produce 0.91 and 0.88 respectively. Our experiments
show that Gemini requires more precise prompt engineering than
ChatGPT. Except for question-answering, both models under-perform
compared to current state-of-the-art predictors across other tasks."
2;"Which AI Technique Is Better to Classify Requirements?
An Experiment with SVM, LSTM, and ChatGPT";Arxiv;2024;"Recently, Large Language Models like ChatGPT have demonstrated remarkable profeciency in various Natural
Language Processing tasks. Their application in Requirements Engineering, especially in requirements classi!cation,
has gained increasing interest. This paper reports an extensive empirical evaluation of two ChatGPT models,
specifically gpt-3.5-turbo, and gpt-4 in both zero-shot and few-shot settings for requirements classi!cation. The
question arises as to how these models compare to traditional classi!cation methods, specifically Support Vector
Machine and Long Short-Term Memory. Based on five different datasets, our results show that there is no single
best technique for all types of requirement classes. Interestingly, the few-shot setting has been found to be
beneficial primarily in scenarios where zero-shot results are significantly low."
3;"ARCHCODE: Incorporating Software Requirements in
Code Generation with Large Language Models";Arxiv;2024;"This paper aims to extend the code generation
capability of large language models (LLMs)
to automatically manage comprehensive software
requirements from given textual descriptions.
Such requirements include both functional
(i.e. achieving expected behavior for inputs)
and non-functional (e.g., time/space performance,
robustness, maintainability) requirements.
However, textual descriptions can either
express requirements verbosely or may even
omit some of them. We introduce ARCHCODE,
a novel framework that leverages in-context
learning to organize requirements observed in
descriptions and to extrapolate unexpressed requirements
from them. ARCHCODE generates
requirements from given descriptions, conditioning
them to produce code snippets and test
cases. Each test case is tailored to one of the
requirements, allowing for the ranking of code
snippets based on the compliance of their execution
results with the requirements. Public
benchmarks show that ARCHCODE enhances
to satisfy functional requirements, significantly
improving Pass@k scores. Furthermore, we introduce
HumanEval-NFR, the first evaluation
of LLMs’ non-functional requirements in code
generation, demonstrating ARCHCODE’s superiority
over baseline methods. The implementation
of ARCHCODE and the HumanEval-NFR
benchmark are both publicly accessible."
4;"Prioritizing Software Requirements Using Large
Language Models";Arxiv;2024;"Large Language Models (LLMs) are revolutionizing Software Engineering (SE)
by introducing innovative methods for tasks such as collecting requirements,
designing software, generating code, and creating test cases, among others. This
article focuses on requirements engineering, typically seen as the initial phase
of software development that involves multiple system stakeholders. Despite its
key role, the challenge of identifying requirements and satisfying all stakeholders
within time and budget constraints remains significant. To address the challenges
in requirements engineering, this study introduces a web-based software tool utilizing
AI agents and prompt engineering to automate task prioritization and
apply diverse prioritization techniques, aimed at enhancing project management
within the agile framework. This approach seeks to transform the prioritization
of agile requirements, tackling the substantial challenge of meeting stakeholder
needs within set time and budget limits. Furthermore, the source code of our
developed prototype is available on GitHub, allowing for further experimentation
and prioritization of requirements, facilitating research and practical application."
5;"Using Large Language Models for Natural
Language Processing Tasks in Requirements
Engineering: A Systematic Guideline";Arxiv;2024;"Large Language Models (LLMs) are the cornerstone in automating
Requirements Engineering (RE) tasks, underpinning recent advancements
in the field. Their pre-trained comprehension of natural language
is pivotal for effectively tailoring them to specific RE tasks. However,
selecting an appropriate LLM from a myriad of existing architectures
and fine-tuning it to address the intricacies of a given task poses a
significant challenge for researchers and practitioners in the RE domain.
Utilizing LLMs e!ectively for NLP problems in RE necessitates a dual
understanding: firstly, of the inner workings of LLMs, and secondly, of a
systematic approach to selecting and adapting LLMs for NLP4RE tasks.
This chapter aims to furnish readers with essential knowledge about
LLMs in its initial segment. Subsequently, it provides a comprehensive
guideline tailored for students, researchers, and practitioners on harnessing
LLMs to address their specific objectives. By offering insights into
the workings of LLMs and furnishing a practical guide, this chapter contributes
towards improving future research and applications leveraging
LLMs for solving RE challenges."
6;"Rethinking Legal Compliance Automation:
Opportunities with Large Language Models";RE;2024;"As software-intensive systems face growing pressure
to comply with laws and regulations, providing automated support
for compliance analysis has become paramount. Despite advances
in the Requirements Engineering (RE) community on legal
compliance analysis, important obstacles remain in developing
accurate and generalizable compliance automation solutions. This
paper highlights some observed limitations of current approaches
and examines how adopting new automation strategies that
leverage Large Language Models (LLMs) can help address these
shortcomings and open up fresh opportunities. Specifically, we
argue that the examination of (textual) legal artifacts should, first,
employ a broader context than sentences, which have widely been
used as the units of analysis in past research. Second, the mode
of analysis with legal artifacts needs to shift from classification
and information extraction to more end-to-end strategies that are
not only accurate but also capable of providing explanation and
justification.We present a compliance analysis approach designed
to address these limitations. We further outline our evaluation
plan for the approach and provide preliminary evaluation results
based on data processing agreements (DPAs) that must comply
with the General Data Protection Regulation (GDPR). Our initial
findings suggest that our approach yields substantial accuracy
improvements and, at the same time, provides justification for
compliance decisions."
7;"SimAC: simulating agile collaboration to generate
acceptance criteria in user story elaboration";ASE;2024;"In agile requirements engineering, Generating Acceptance Criteria (GAC) to elaborate
user stories plays a pivotal role in the sprint planning phase, which provides
a reference for delivering functional solutions. GAC requires extensive collaboration
and human involvement. However, the lack of labeled datasets tailored for User
Story attached with Acceptance Criteria (US-AC) poses significant challenges for
supervised learning techniques attempting to automate this process. Recent advancements
in Large Language Models (LLMs) have showcased their remarkable textgeneration
capabilities, bypassing the need for supervised fine-tuning. Consequently,
LLMs offer the potential to overcome the above challenge. Motivated by this, we
propose SimAC, a framework leveraging LLMs to simulate agile collaboration, with
three distinct role groups: requirement analyst, quality analyst, and others. Initiated
by role-based prompts, LLMs act in these roles sequentially, following a create-
update-update paradigm in GAC. Owing to the unavailability of ground truths,
we invited practitioners to build a gold standard serving as a benchmark to evaluate
the completeness and validity of auto-generated US-AC against human-crafted
ones. Additionally, we invited eight experienced agile practitioners to evaluate the
quality of US-AC using the INVEST framework. The results demonstrate consistent
improvements across all tested LLMs, including the LLaMA and GPT-3.5 series.
Notably, SimAC significantly enhances the ability of gpt-3.5-turbo in GAC, achieving
improvements of 29.48% in completeness and 15.56% in validity, along with the
highest INVEST satisfaction score of 3.21/4. Furthermore, this study also provides
case studies to illustrate SimAC’s effectiveness and limitations, shedding light on
the potential of LLMs in automated agile requirements engineering."
8;"Leveraging Graph-RAG and Prompt Engineering
to Enhance LLM-Based Automated Requirement
Traceability and Compliance Checks";Arxiv;2024;"Ensuring that Software Requirements Specifications (SRS) align with higherlevel
organizational or national requirements is vital, particularly in regulated
environments such as finance and aerospace. In these domains, maintaining consistency,
adhering to regulatory frameworks, minimizing errors, and meeting
critical expectations are essential for the reliable functioning of systems. The
widespread adoption of large language models (LLMs) highlights their immense
potential, yet there remains considerable scope for improvement in retrieving relevant
information and enhancing reasoning capabilities. This study demonstrates
that integrating a robust Graph-RAG framework with advanced prompt engineering
techniques, such as Chain of Thought and Tree of Thought, can significantly
enhance performance. Compared to baseline RAG methods and simple prompting
strategies, this approach delivers more accurate and context-aware results.
While this method demonstrates significant improvements in performance, it
comes with challenges. It is both costly and more complex to implement across
diverse contexts, requiring careful adaptation to specific scenarios. Additionally,
its effectiveness heavily relies on having complete and accurate input data, which
may not always be readily available, posing further limitations to its scalability
and practicality."
9;The Application of LLMs in the Analysis and Modeling of Software Requirements;QRS-C;2024;"In modern software engineering, requirements
analysis and modeling are key steps in requirements
engineering, influencing the subsequent system design and
implementation. Traditional requirements analysis and
modeling methods usually involve multiple stakeholders
such as requirements providers and analysts working
together collaboratively and iteratively, requiring a
significant amount of manpower. It is of great significance
to reduce the burden on requirements providers and analysts
and improve the efficiency of analysis and modeling. In
existing work, some merely utilize knowledge repositories
to provide more knowledge in support of analysis or
modeling, while others employ natural language processing
(NLP) techniques to automate the analysis or modeling
process. However, neither has relieved the burden on
requirements providers and analysts. The emergence of
large language models(LLMs) has brought new possibilities
to requirements analysis and modeling.LLMs can combine
knowledge base processing and understanding of large
amounts of natural language data, providing a new
automated requirement analysis method. This paper
proposes an automated requirements analysis and modeling
method for Support Vector Machine(SVM) classifier and
LLMs — SVM-LLMs.The method is deployed based on the
intelligent requirement service platform - ""Wisdom
Requirement Communication"", which combines SVM and
LLMs to effectively improve the accuracy of requirements
analysis and significantly reduce the time in the software
development process."
10;"Investigating ChatGPT’s Potential to Assist in
Requirements Elicitation Processes";SEAA;2023;"Natural Language Processing (NLP) for Requirements
Engineering (RE) (NLP4RE) seeks to apply NLP tools,
techniques, and resources to the RE process to increase the
quality of the requirements. There is little research involving the
utilization of Generative AI-based NLP tools and techniques for
requirements elicitation. In recent times, Large Language Models
(LLM) like ChatGPT have gained significant recognition due to
their notably improved performance in NLP tasks. To explore
the potential of ChatGPT to assist in requirements elicitation
processes, we formulated six questions to elicit requirements
using ChatGPT. Using the same six questions, we conducted
interview-based surveys with five RE experts from academia and
industry and collected 30 responses containing requirements. The
quality of these 36 responses (human-formulated + ChatGPTgenerated)
was evaluated over seven different requirements
quality attributes by another five RE experts through a second
round of interview-based surveys. In comparing the quality of
requirements generated by ChatGPT with those formulated by
human experts, we found that ChatGPT-generated requirements
are highly Abstract, Atomic, Consistent, Correct, and Understandable.
Based on these results, we present the most pressing
issues related to LLMs and what future research should focus
on to leverage the emergent behaviour of LLMs more effectively
in natural language-based RE activities."
11;"Extracting Domain Models from Textual
Requirements in the Era of Large Language Models";MODELS-C;2023;"Requirements Engineering is a critical part of the
software lifecycle, describing what a given piece of software
will do (functional) and how it will do it (non-functional).
Requirements documents are often textual, and it is up to
software engineers to extract the relevant domain models from
the text, which is an error-prone and time-consuming task.
Considering the recent attention gained by Large Language
Models (LLMs), we explored how they could support this task.
This paper investigates how such models can be used to extract
domain models from agile product backlogs and compare them
to (i) a state-of-practice tool as well as (ii) a dedicated Natural
Language Processing (NLP) approach, on top of a reference
dataset of 22 products and 1, 679 user stories. Based on these
results, this paper is a first step towards using LLMs and/or
tailored NLP to support automated requirements engineering
thanks to model extraction using artificial intelligence."
12;"Interlinking User Stories and GUI Prototyping: A
Semi-Automatic LLM-based Approach";RE;2024;"Interactive systems are omnipresent today and the
need to create graphical user interfaces (GUIs) is just as ubiquitous.
For the elicitation and validation of requirements, GUI
prototyping is a well-known and effective technique, typically
employed after gathering initial user requirements represented
in natural language (NL) (e.g., in the form of user stories). Unfortunately,
GUI prototyping often requires extensive resources,
resulting in a costly and time-consuming process. Despite various
easy-to-use prototyping tools in practice, there is often a lack
of adequate resources for developing GUI prototypes based on
given user requirements. In this work, we present a novel Large
Language Model (LLM)-based approach providing assistance for
validating the implementation of functional NL-based requirements
in a GUI prototype embedded in a prototyping tool. In
particular, our approach aims to detect functional user stories
that are not implemented in a GUI prototype and provides
recommendations for suitable GUI components directly implementing
the requirements. We collected requirements for existing
GUIs in the form of user stories and evaluated our proposed
validation and recommendation approach with this dataset. The
obtained results are promising for user story validation and we
demonstrate feasibility for the GUI component recommendations."
