Paper no,Paper name,Category of LLM,Year,LLM architecture
1,"
Using Large Language Models for Natural Language Processing Tasks in Requirements Engineering: A Systematic Guideline
Andreas Vogelsang +1
arXiv.org
2402.13823v3.pdf
2024 ·
3 citations","1. Encoder-only LLMs (e.g. BERT)
2. Decoder-only LLMs (e.g. GPT)
3. Encoder-decoder LLMs (e.g. T5)",2024,Encoder-Decoder
2,"The Application of LLMs in the Analysis and Modeling of Software Requirements
Zhipeng Wang, Changxi Feng, Longfei Liu, Guotao Jiao, Peng Ye
IEEE International Conference on Software Quality, Reliability and Security Companion
The_Application_of_LLMs_in_the_Analysis_and_Modeling_of_Software_Requirements.pdf
2024
0 citations","Based on the information provided in the paper, the category of LLM used in this research appears to be transformer-based language models such as BERT, GPT, and ChatGPT. The paper does not explicitly state the specific LLM used, but it mentions the use of BERT, GPT, and the dot-product attention mechanism, which are common techniques employed in transformer-based language models.",2024,Encoder-Decoder
3,"Investigating ChatGPT's Potential to Assist in Requirements Elicitation Processes
Krishna Ronanki, Christian Berger, Jennifer Horkoff
Investigating_ChatGPTs_Potential_to_Assist_in_Requirements_Elicitation_Processes.pdf
Citations unknown","The category of LLM used in this study is the GPT-3.5 model, which is the foundation for the ChatGPT model.",2023,Decoder-only
4,"Leveraging Graph-RAG and Prompt Engineering to Enhance LLM-Based Automated Requirement Traceability and Compliance Checks
Arsalan Masoudifard, Mohammad Mowlavi, Moein Madadi, Mohammad Sabokrou, Elahe Habibi
2412.08593v1.pdf
2024
0 citations",The category of LLM used in this paper is Transformer-based LLMs.,2024,Encoder-Decoder
5,"Interlinking User Stories and GUI Prototyping: A Semi-Automatic LLM-based Approach
Kristian Kolthoff, Felix Kretzer, Christian Bartelt, Alexander Maedche, Simone Paolo Ponzetto
IEEE International Requirements Engineering Conference
Interlinking_User_Stories_and_GUI_Prototyping_A_Semi-Automatic_LLM-Based_Approach.pdf
2024
2 citations","The category of LLM used in this paper is the GPT-4 model, which is a state-of-the-art large language model.",2024,Decoder-only
6,"Generating Requirements Elicitation Interview Scripts with Large Language Models
Binnur Görer, Fatma Bas, ¸ak Aydemir
2023 IEEE 31st International Requirements Engineering Conference Workshops (REW)
Generating_Requirements_Elicitation_Interview_Scripts_with_Large_Language_Models.pdf
2023
10 citations","state-of-the-art, large-scale transformer-based models, specifically GPT-4 and Google's PaLM-2.",2023,Encoder-Decoder
7,"Prioritizing Software Requirements Using Large Language Models
Malik Abdul Sami, Zeeshan Rasheed, Muhammad Waseem, Zheying Zhang, Tomas Herda, Pekka Abrahamsson
arXiv.org
2405.01564v1.pdf
2024
4 citations",The category of LLM used in this research is the GPT (Generative Pre-trained Transformer) series of language models.,2024,Encoder-Decoder
8,"Which AI Technique Is Better to Classify Requirements? An Experiment with SVM, LSTM, and ChatGPT
Abdelkarim El-Hajjami, Nicolas Fa, Camille Salinesi, D Mendez, A Moreira, J Horko, T Weyer, M Daneva, M Unterkalmsteiner, S Bühne, J Hehn, B Penzenstadler, N Condori- Fernández, O Dieste, R Guizzardi, K M Habibullah, A Perini, A Susi, S Abualhaija, C Arora, D Dell', A Ferrari, S Ghanavati, F Dalpiaz, J Steghöfer, A Rachmann, J Gulden, A Müller, M Beck, D Birkmeier, A Herrmann, P Mennig, K Schneider
REFSQ Workshops
2311.11547v2.pdf
2023
1 citation","The category of LLM used in this paper is ChatGPT, specifically the gpt-3.5-turbo and gpt-4 models developed by OpenAI.",2023,Decoder-only
9,"Extracting Domain Models from Textual Requirements in the Era of Large Language Models
Sathurshan Arulmohan, Marie-Jean Meurs, Sébastien Mosser
2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)
Extracting_Domain_Models_from_Textual_Requirements_in_the_Era_of_Large_Language_Models.pdf
2023
10 citations","The category of LLM used in this paper is autoregressive language models, specifically GPT-3.5 and ChatGPT developed by OpenAI.",2023,Decoder-only
10,"GPT-Powered Elicitation Interview Script Generator for Requirements Engineering Training
Binnur Görer, Fatma Bas, ¸ak Aydemir
IEEE International Requirements Engineering Conference
GPT-Powered_Elicitation_Interview_Script_Generator_for_Requirements_Engineering_Training.pdf
2024
0 citations",The category of LLM used is GPT-4,2024,Decoder-only
11,"Zero-shot Learning for Named Entity Recognition in Software Specification Documents
Souvick Das, Novarun Deb, Agostino Cortesi, Nabendu Chaki
IEEE International Requirements Engineering Conference
Zero-shot_Learning_for_Named_Entity_Recognition_in_Software_Specification_Documents.pdf
2023
2 citations","The category of LLM used in this research includes large transformer-based language models such as GPT-3, T5, BERT, RoBERTa, and BART.",2023,Encoder-Decoder
12,"Using LLMs in Software Requirements Specifications: An Empirical Evaluation
Madhava Krishna, Bhagesh Gaur, Arsh Verma, Pankaj Jalote
IEEE International Requirements Engineering Conference
Using_LLMs_in_Software_Requirements_Specifications_An_Empirical_Evaluation.pdf
2024
2 citations",The category of LLMs used in this study are GPT-4 (also known as ChatGPT) and CodeLlama-34b.,2024,Decoder-only
13,"Requirements-driven Slicing of Simulink Models Using LLMs
Dipeeka Luitel, Shiva Nejati, Mehrdad Sabetzadeh
2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW)
Requirements-Driven_Slicing_of_Simulink_Models_using_LLMs.pdf
2024
2 citations","The category of LLM used in Dipeeka Luitel, Shiva Nejati, Mehrdad Sabetzadeh (2024) is a generative LLM, specifically ChatGPT over GPT-4.0classic.",2024,Decoder-only
14,"Improving requirements completeness: automated assistance through large language models
Dipeeka Luitel, Shabnam Hassani, Mehrdad Sabetzadeh
Requirements Engineering
s00766-024-00416-3.pdf
2023
16 citations",The category of LLM used in this research is BERT (Bidirectional Encoder Representations from Transformers).,2023,Encoder-Decoder
15,"Advancing Requirements Engineering Through Generative AI: Assessing the Role of LLMs
Chetan Arora, John Grundy, Mohamed Abdelrazek
arXiv.org
978-3-031-55642-5_6.pdf
2023
41 citations","Based on the information provided in the paper, the category of LLM used is a large, pre-trained language model like GPT-3 or BERT, specifically the GPT-3.5 model used in the ChatGPT system.",2023,Decoder-only
16,"Requirements Modeling Aided by ChatGPT: An Experience in Embedded Systems
Kun Ruan, Xiaohong Chen, Zhi Jin
2023 IEEE 31st International Requirements Engineering Conference Workshops (REW)
Requirements_Modeling_Aided_by_ChatGPT_An_Experience_in_Embedded_Systems.pdf
2023
4 citations", ChatGPT.,2023,Decoder-only
